location,city,province,lat,lon,type
Philippines,Philippines,,12.7503486,122.7312101,municipality
Quezon City,Quezon City,,14.6510546,121.0486254,city
Legazpi,Legazpi,,13.1388505,123.7345746,city
"Washington, Albay",Washington,Albay,13.1026983,123.6987233,city_block
Angeles,Angeles,,15.1389351,120.5875321,city
Olongapo,Olongapo,,14.8388848,120.2843587,city
Urdaneta,Urdaneta,,15.9759995,120.5668992,city
Tarlac City,Tarlac City,,15.4861218,120.5893473,city
Antipolo,Antipolo,,14.5871972,121.1759246,city
Naga,Naga,,10.2084724,123.7590963,city
Tuguegarao,Tuguegarao,,17.6118858,121.7300377,city
Catbalogan,Catbalogan,,11.7753199,124.8829549,city
Cabuyao,Cabuyao,,14.2795538,121.1235712,city
Baliwag,Baliwag,,14.9542259,120.9009172,city
Vigan,Vigan,,17.5755487,120.3872632,city
Imus,Imus,,14.4290041,120.9365856,city
"Bislig, Surigao del Sur",Bislig,Surigao del Sur,8.2130815,126.3156173,city
Guihulngan,Guihulngan,,10.1195972,123.273871,city
Ilagan,Ilagan,,17.1486341,121.8886466,city
Manila,Manila,,14.5904492,120.9803621,city
Passi,Passi,,11.1173503,122.6468706,city
Ligao,Ligao,,13.2402789,123.5365227,city
Meycauayan,Meycauayan,,14.7345008,120.9571635,city
Cabanatuan,Cabanatuan,,15.4905045,120.9684264,city
Muñoz,Muñoz,,15.7135413,120.9039451,city
Gapan,Gapan,,15.3122806,120.9479433,city
Tayabas,Tayabas,,14.0263471,121.5918364,city
General Trias,General Trias,,14.3861207,120.8802855,city
Parañaque,Parañaque,,14.5008116,120.9915327,city
Taguig,Taguig,,14.5270538,121.0744942,city
Dasmariñas,Dasmariñas,,14.3270819,120.9370871,city
Mandaluyong,Mandaluyong,,14.5774392,121.0338973,city
Bayugan,Bayugan,,8.7145642,125.7481892,city
Bacoor,Bacoor,,14.4596033,120.9598169,city
San Juan,San Juan,,14.6044363,121.0299469,city
Santa Rosa,Santa Rosa,,14.3146042,121.1137004,city
"Malaybalay, Bukidnon",Malaybalay,Bukidnon,8.1550421,125.1305726,city
Carmona,Carmona,,14.3134594,121.0574345,city
"Tanjay, Negros Oriental",Tanjay,Negros Oriental,9.5164507,123.1566353,city
Koronadal,Koronadal,,6.5004041,124.8435437,city
Maasin,Maasin,,10.1325061,124.8385147,city
Kabankalan,Kabankalan,,9.9889153,122.8134802,city
"Mati, Davao Oriental",Mati,Davao Oriental,6.9521657,126.2166758,city
Malabon,Malabon,,14.6578504,120.9511261,city
Victorias,Victorias,,10.9013412,123.0714943,city
Calapan,Calapan,,13.4145513,121.179543,city
Tacurong,Tacurong,,6.6884368,124.6786576,city
Santo Tomas,Santo Tomas,,14.1078443,121.1453304,city
"Kidapawan, North Cotabato",Kidapawan,North Cotabato,7.0095784,125.0905037,city
El Salvador,El Salvador,,8.5585108,124.5264381,city
Batac,Batac,,18.0555035,120.5645243,city
Sipalay,Sipalay,,9.7491266,122.4040602,city
Borongan,Borongan,,11.6079854,125.4322433,city
Sagay,Sagay,,10.8960681,123.4154617,city
Las Piñas,Las Piñas,,14.4809012,120.9817861,city
Masbate City,Masbate City,,12.3710899,123.6239223,city
Balanga,Balanga,,14.6795669,120.5409693,city
Marikina,Marikina,,14.6331084,121.0993541,city
Calamba,Calamba,,14.2060217,121.1556496,city
Tandag,Tandag,,9.0799833,126.1974606,city
Navotas,Navotas,,14.6571862,120.9479692,city
Tanauan,Tanauan,,14.0852359,121.1527927,city
Santiago,Santiago,,16.6915963,121.5478637,city
Escalante,Escalante,,10.8412587,123.499306,city
Calaca,Calaca,,13.9338465,120.8140254,city
"Samal, Davao del Norte",Samal,Davao del Norte,7.0780265,125.7120437,city
"Isabela, Basilan",Isabela,Basilan,6.7053597,121.9710604,city
Muntinlupa,Muntinlupa,,14.3892634,121.0449101,city
Candon,Candon,,17.1929894,120.4483993,city
San Jose del Monte,San Jose del Monte,,14.8101978,121.0474088,city
San Fernando,San Fernando,,15.0283014,120.6938038,city
"Lamitan, Basilan",Lamitan,Basilan,6.6575615,122.1449694,city
Alaminos,Alaminos,,16.1553857,119.9792201,city
Himamaylan,Himamaylan,,10.0992841,122.870539,city
"Tabuk, Kalinga",Tabuk,Kalinga,17.4136195,121.4440137,city
Biñan,Biñan,,14.3388259,121.0841826,city
Bayawan,Bayawan,,9.3661533,122.804837,city
Sorsogon City,Sorsogon City,,12.9707848,124.0052543,city
"Cotabato City, Maguindanao del Norte",Cotabato City,Maguindanao del Norte,7.2237628,124.2467062,city
Tagbilaran,Tagbilaran,,9.6402611,123.8559809,city
Dioquino Zobel,Dioquino Zobel,,14.6195201,121.0648214,city_block
Merry Homes,Merry Homes,,14.7038976,121.056125,city_block
NHC-Tala Estate Subdivision,NHC-Tala Estate Subdivision,,14.772601,121.069328,city_block
Rosanno Ville,Rosanno Ville,,14.674981,121.036651,city_block
Barracks,Barracks,,14.56878,121.077766,city_block
Santa Rita Village,Santa Rita Village,,14.6687815,121.0294288,city_block
Josefina Compound 2,Josefina Compound 2,,14.4649109,120.9714822,city_block
Ruby Ville,Ruby Ville,,14.67762,121.004287,city_block
Jem 2 Homes,Jem 2 Homes,,14.679711,121.047317,city_block
